Nationality,Position,Date of Birth,Height,Name,Apps,Goals,Goals per Game,Shots,Shots on Target,Shot Acc.,Assists,Passes,Passes per Game,Chances Created,Crosses,Cross Acc.,Yellow Cards,Red Cards,Fouls,Offsides,Tackles,Successful Tackles,Blocked Shots,Interceptions,Clearances,Duels Won,Duels Lost,Aerials Won,Aerials Lost,50/50 Tackle Wins
United States,Midfielder,18/09/1998 (22),172cm,Christian Pulisic,34,10,0.29,80,31,39%,4,880,25.88,8,48,15%,0,0,19,4,30,47%,22,12,11,173,247,26,60,76
Spain,Forward,09/07/1995,175cm,Sandro Ramírez,8,0,8,9,1,11%,0,82,10.25,0,6,,,,,,,,,,,,,,,
England,Defender,10/10/2000 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,14/05/1998 (22),188cm,Aaron Ramsdale,52,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,28/05/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Goalkeeper,12/05/1987 (33),188cm,Darren Randolph,31,0,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Forward,14/12/1996 (24),176cm,Raphinha,10,1,0.1,26,6,23%,2,255,25.5,2,44,,,,,,,,,,,,,,,
England,Forward,31/10/1997 (23),180cm,Marcus Rashford,156,50,0.32,336,148,44%,25,"3,336",21.38,28,263,,,,,,,,,,,,,,,
United States,Defender,05/10/1987 (33),186cm,Tim Ream,44,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,06/03/1994 (26),173cm,Nathan Redmond,216,26,0.12,391,131,34%,18,"5,934",27.47,37,532,23%,12,1,160,48,261,64%,109,113,74,951,"1,139",70,189,426
England,Midfielder,27/01/1995 (25),181cm,Harrison Reed,28,0,28,8,3,38%,1,779,27.82,1,13,31%,2,0,15,0,46,80%,1,38,19,77,92,9,24,4
Spain,Defender,16/12/1996 (24),178cm,Sergio Reguilón,11,0,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,Defender,03/07/1988,190cm,Winston Reid,166,6,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,03/02/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Defender,06/10/1993 (27),175cm,Ricardo Pereira,63,5,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,14/01/1999 (21),185cm,Declan Rice,114,3,0.03,67,15,22%,4,"4,571",40.1,3,49,27%,12,0,74,4,276,58%,17,186,189,546,413,158,130,92
England,Midfielder,04/12/2000,180cm,Taylor Richards,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
England,Midfielder,07/02/2003 (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Forward,10/05/1997 (23),184cm,Richarlison,120,33,0.28,297,96,32%,11,"2,670",22.25,24,167,,,,,,,,,,,,,,,
Netherlands,Midfielder,09/09/1996 (24),182cm,Jairo Riedewald,42,1,0.02,7,1,14%,0,708,16.86,0,9,33%,0,0,10,0,40,60%,3,37,38,70,50,9,10,15
Scotland,Midfielder,10/09/1989 (31),172cm,Matt Ritchie,133,11,0.08,210,52,25%,20,"4,246",31.92,28,782,25%,25,0,164,8,195,68%,78,153,181,522,669,118,217,58
Brazil,Forward,02/10/1991 (29),181cm,Roberto Firmino,190,62,0.33,453,196,43%,38,"6,668",35.09,52,165,,,,,,,,,,,,,,,
England,Defender,10/05/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Defender,11/03/1994 (26),178cm,Andrew Robertson,166,5,,,,,,,,,,,,,,,,,,,,,,,,
United States,Defender,08/08/1997 (23),183cm,Antonee Robinson,12,0,,,,,,,,,,,,,,,,,,,,,,,,
Wales,Forward,21/05/1989 (31),183cm,Hal Robson-Kanu,80,12,0.15,76,30,39%,3,694,8.68,2,101,,,,,,,,,,,,,,,
Slovakia,Goalkeeper,13/12/1996 (24),194cm,Marek Rodák,1,0,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Defender,30/03/1991,191cm,Roderick Miranda,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Wales,Defender,22/10/1997 (23),180cm,Joe Rodon,4,0,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Forward,06/03/1991 (29),182cm,Rodrigo,30,3,0.1,47,15,32%,1,478,15.93,8,38,,,,,,,,,,,,,,,
England,Forward,29/07/1989 (31),185cm,Jay Rodriguez,189,41,0.22,385,141,37%,12,"2,937",15.54,15,137,,,,,,,,,,,,,,,
England,Midfielder,11/03/1991 (29),188cm,Jack Rodwell,167,10,0.06,210,58,28%,4,"3,881",23.24,2,67,13%,26,1,135,7,212,78%,63,113,227,470,423,148,114,49
Argentina,Defender,20/03/1990 (30),187cm,Marcos Rojo,76,1,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Goalkeeper,22/02/1987 (33),192cm,Sergio Romero,7,0,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Midfielder,24/09/1991 (29),183cm,Oriol Romeu,195,5,0.03,124,27,22%,1,"8,659",44.41,14,24,33%,53,0,270,5,517,68%,43,346,262,"1,085",988,323,298,101
England,Defender,02/07/1990,173cm,Danny Rose,194,9,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Defender,14/05/1997 (23),186cm,Rúben Dias,12,0,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Midfielder,13/03/1997 (23),180cm,Rúben Neves,88,6,0.07,159,31,19%,5,"4,724",53.68,9,66,21%,20,0,85,0,165,49%,64,152,95,307,340,73,70,34
Portugal,Defender,09/04/1999,174cm,Rúben Vinagre,35,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,24/10/1986 (34),193cm,John Ruddy,119,0,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Defender,03/03/1993 (27),190cm,Antonio Rüdiger,82,5,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Goalkeeper,15/02/1988 (32),190cm,Rui Patrício,90,0,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Goalkeeper,18/02/1995 (25),186cm,Rúnar Alex Rúnarsson,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Goalkeeper,08/04/1992 (28),184cm,Mat Ryan,121,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,18/05/2000,178cm,Ryan Sessegnon,41,2,,,,,,,,,,,,,,,,,,,,,,,,
France,Forward,12/03/1997 (23),173cm,Allan Saint-Maximin,34,4,0.12,53,25,47%,5,584,17.18,10,55,,,,,,,,,,,,,,,
Morocco,Midfielder,26/03/1990 (30),190cm,Romain Saïss,62,6,0.1,47,18,38%,1,"2,869",46.27,4,26,15%,17,1,81,2,106,66%,9,101,216,363,253,207,118,16
Senegal,Midfielder,26/10/1990 (30),174cm,Henri Saivet,5,1,0.2,1,1,100%,0,106,21.2,0,2,2%,0,0,1,0,18,67%,0,9,10,23,20,3,7,1
England,Midfielder,05/09/2001 (19),178cm,Bukayo Saka,40,3,0.08,40,13,33%,5,"1,078",26.95,6,119,,,,,,,,,,,,,,,
France,Defender,13/02/1990 (30),187cm,Mamadou Sakho,128,3,,,,,,,,,,,,,,,,,,,,,,,,
France,Defender,24/03/2001 (19),192cm,William Saliba,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Defender,17/04/1999 (21),191cm,Mohammed Salisu,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Forward,23/12/1992,183cm,Mbwana Samatta,14,1,0.07,17,3,18%,0,172,12.29,1,3,,,,,,,,,,,,,,,
England,Forward,20/11/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Goalkeeper,18/11/1997 (23),197cm,Robert Sánchez,4,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,04/01/1999 (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,15/12/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Forward,11/01/1996,184cm,Leroy Sané,90,25,0.28,148,58,39%,28,"2,636",29.29,31,243,,,,,,,,,,,,,,,
Montenegro,Goalkeeper,23/07/1997,195cm,Matija Sarkic,0,0,,,,,,,,,,,,,,,,,,,,,,,,
France,Defender,23/01/1999,182cm,Malang Sarr,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts And Nevis,Midfielder,02/11/1991 (29),175cm,Romaine Sawyers,13,0,13,3,0,3%,0,486,37.38,1,1,100%,2,0,11,0,21,52%,1,15,5,47,44,9,2,6
England,Forward,24/03/2004 (16),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Defender,20/12/1991 (29),188cm,Fabian Schär,54,6,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Defender,23/05/1989,187cm,Ezequiel Schelotto,28,0,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Midfielder,23/12/1992 (28),178cm,Jeffrey Schlupp,160,12,0.08,142,39,27%,8,"3,375",21.09,11,213,18%,16,0,120,3,291,69%,46,186,219,836,856,229,291,192
Denmark,Goalkeeper,05/11/1986 (34),189cm,Kasper Schmeichel,225,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,30/10/1997 (23),180cm,Sean Longstaff,42,2,0.05,40,13,33%,1,"1,216",28.95,3,50,30%,6,1,33,0,64,61%,11,39,36,150,165,28,44,15
Cote D'Ivoire,Midfielder,19/07/1991 (29),168cm,Jean Michael Seri,32,1,0.03,19,6,32%,2,"1,592",49.75,7,108,36%,6,0,32,1,41,68%,7,32,14,93,112,14,20,16
Germany,Midfielder,15/03/1999 (21),185cm,Meritan Shabani,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
England,Midfielder,08/10/1999 (21),168cm,Jamie Shackleton,7,0,7,0,0,0%,0,94,13.43,0,1,100%,0,0,1,1,4,50%,0,7,2,8,11,0,4,2
Switzerland,Midfielder,10/10/1991 (29),169cm,Xherdan Shaqiri,117,22,0.19,187,64,34%,19,"3,067",26.21,33,556,26%,12,0,80,30,72,56%,50,43,15,335,472,16,49,122
England,Forward,05/02/1986 (34),175cm,Billy Sharp,32,4,0.12,19,9,47%,2,250,7.81,5,14,,,,,,,,,,,,,,,
Ireland,Midfielder,30/06/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,12/07/1995 (25),185cm,Luke Shaw,166,1,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,27/02/1992 (28),184cm,Jonjo Shelvey,221,20,0.09,382,117,31%,23,"9,214",41.69,31,628,24%,34,4,185,12,273,70%,108,203,183,598,628,114,107,142
England,Defender,10/11/2000,184cm,Saul Shotton,0,0,,,,,,,,,,,,,,,,,,,,,,,,
France,Defender,29/07/1992,182cm,Djibril Sidibé,25,0,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Midfielder,08/09/1989 (31),186cm,Gylfi Sigurdsson,296,63,0.21,618,225,36%,47,"8,022",27.1,69,"1,402",26%,20,0,201,16,360,67%,207,296,167,892,"1,264",91,248,204
Spain,Midfielder,08/01/1986,173cm,David Silva,309,60,0.19,552,186,34%,93,"18,801",60.84,119,955,26%,32,0,252,37,380,71%,188,220,109,"1,197","1,363",116,173,363
England,Defender,13/03/2002,186cm,Dynel Simeu,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,05/01/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,28/03/1997,174cm,Josh Sims,20,0,20,21,9,43%,2,187,9.35,2,12,17%,0,0,4,3,8,75%,7,3,2,39,56,7,20,15
France,Midfielder,16/08/1989 (31),187cm,Moussa Sissoko,247,14,0.06,216,69,32%,24,"8,897",36.02,34,461,22%,38,2,290,24,299,78%,54,179,188,"1,110","1,442",247,350,394
England,Midfielder,16/09/2000,175cm,Oliver Skipp,15,0,15,2,0,2%,0,181,12.07,0,0,0%,0,0,5,0,9,56%,1,1,6,24,19,10,6,2
England,Midfielder,11/09/1999,173cm,Regan Slater,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
England,Midfielder,08/02/1999,175cm,Callum Slattery,3,0,3,1,0,1%,0,31,10.33,0,1,1%,0,0,4,0,4,75%,1,2,1,11,19,3,9,1
Algeria,Forward,18/06/1988 (32),188cm,Islam Slimani,40,8,0.2,43,17,40%,5,589,14.72,2,10,,,,,,,,,,,,,,,
Ireland,Midfielder,21/02/2000 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,22/11/1989,194cm,Chris Smalling,219,12,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,28/07/2000 (20),182cm,Emile Smith Rowe,3,0,3,1,0,1%,1,62,20.67,0,2,2%,0,0,0,1,1,100%,0,1,3,6,6,1,0,2
Scotland,Midfielder,07/09/1987 (33),182cm,Robert Snodgrass,163,26,0.16,250,88,35%,23,"4,719",28.95,35,"1,090",27%,30,0,199,27,265,72%,78,106,105,865,"1,119",158,271,154
Greece,Defender,09/06/1988 (32),186cm,Sokratis,44,3,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,Forward,08/07/1992 (28),183cm,Son Heung-Min,175,64,0.37,374,162,43%,33,"4,078",23.3,36,288,,,,,,,,,,,,,,,
Denmark,Goalkeeper,17/01/2001,189cm,Andreas Söndergaard,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Forward,18/09/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Midfielder,27/02/1995 (25),192cm,Tomas Soucek,28,7,0.25,48,17,35%,0,926,33.07,0,4,4%,1,0,37,0,56,45%,12,44,67,239,181,158,100,3
England,Forward,26/11/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Defender,23/05/1996 (24),185cm,Çaglar Söyüncü,44,1,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,04/02/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,24/11/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,18/08/1990 (30),188cm,Jason Steele,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,23/09/1992 (28),183cm,Jed Steer,2,0,,,,,,,,,,,,,,,,,,,,,,,,
United States,Goalkeeper,02/04/1995 (25),191cm,Zack Steffen,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Goalkeeper,22/09/1982,197cm,Maarten Stekelenburg,55,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,12/06/1989 (31),169cm,Dale Stephens,103,1,0.01,53,5,9%,5,"4,888",47.46,4,6,17%,20,1,139,0,271,62%,19,173,153,420,457,78,76,36
England,Forward,08/12/1994 (26),170cm,Raheem Sterling,272,90,0.33,571,234,41%,47,"8,721",32.06,66,521,,,,,,,,,,,,,,,
England,Defender,18/05/2000,175cm,Steven Sessegnon,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,25/03/2000,178cm,Jordan Stevens,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
England,Forward,03/09/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Goalkeeper,19/12/2000 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,28/05/1994 (26),188cm,John Stones,168,1,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Defender,11/08/1999 (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,31/03/1999 (21),184cm,Japhet Tanganga,6,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,18/09/1995 (25),183cm,Matt Targett,85,2,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,19/11/1992 (28),185cm,James Tarkowski,135,5,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Defender,17/01/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,Defender,07/02/1989 (31),176cm,Neil Taylor,145,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,26/12/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,05/07/1999 (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Defender,09/10/1995 (25),180cm,Kenny Tete,2,0,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Midfielder,11/04/1991 (29),174cm,Thiago,2,0,2,3,0,3%,0,161,80.5,0,1,1%,0,0,4,0,2,50%,1,3,1,9,14,1,3,4
Brazil,Defender,22/09/1984 (36),183cm,Thiago Silva,11,2,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,30/01/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,09/02/2002 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Midfielder,07/05/1997 (23),176cm,Youri Tielemans,66,9,0.14,108,34,31%,10,"3,456",52.36,14,140,15%,7,0,58,1,99,53%,34,49,30,302,280,51,51,63
Scotland,Defender,05/06/1997 (23),178cm,Kieran Tierney,29,1,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,29/03/1989 (31),192cm,James Tomkins,265,12,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,19/12/1997 (23),185cm,Fikayo Tomori,17,1,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Midfielder,11/02/1996,168cm,Lucas Torreira,63,3,0.05,46,12,26%,3,"2,493",39.57,3,40,28%,14,1,62,0,96,57%,10,75,53,276,212,32,47,30
Spain,Forward,29/02/2000 (20),184cm,Ferran Torres,10,2,0.2,17,8,47%,1,147,14.7,1,10,,,,,,,,,,,,,,,
Turkey,Forward,07/06/1991 (29),183cm,Cenk Tosun,53,10,0.19,71,30,42%,3,629,11.87,4,15,,,,,,,,,,,,,,,
England,Midfielder,16/07/1991 (29),181cm,Andros Townsend,223,22,0.1,343,107,31%,24,"4,988",22.37,43,993,24%,14,0,92,22,387,69%,114,187,89,"1,092","1,102",20,83,431
England,Goalkeeper,10/10/2002 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,Forward,06/09/1995 (25),181cm,Bertrand Traoré,22,4,0.18,33,13,39%,3,345,15.68,4,44,,,,,,,,,,,,,,,
Egypt,Midfielder,01/10/1994 (26),180cm,Trézéguet,43,6,0.14,72,23,32%,2,530,12.33,5,89,16%,2,1,57,7,60,45%,29,38,25,184,247,48,72,40
Belgium,Forward,04/12/1994 (26),172cm,Leandro Trossard,43,6,0.14,65,19,29%,4,"1,068",24.84,8,115,,,,,,,,,,,,,,,
England,Goalkeeper,21/11/1998 (22),184cm,Nathan Trott,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Defender,12/05/1996 (24),178cm,Konstantinos Tsimikas,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,14/11/1997 (23),182cm,Axel Tuanzebe,12,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,20/01/2001,178cm,Rayhaan Tulloch,0,0,0,0,0,0%,0,0,0,0,0,,,,,,,,,,,,,,,
Turkey,Midfielder,14/07/1997 (23),173cm,Cengiz Ünder,6,0,6,5,1,20%,2,80,13.33,3,11,18%,0,0,0,1,4,25%,4,2,0,17,16,0,2,11
England,Midfielder,11/09/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Defender,22/02/1999 (21),180cm,Yan Valery,34,2,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Defender,29/08/1990 (30),176cm,Patrick van Aanholt,201,20,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Midfielder,18/04/1997 (23),184cm,Donny van de Beek,10,1,0.1,1,1,100%,0,140,14,0,0,0%,0,0,2,0,9,56%,0,3,2,15,18,0,5,4
Netherlands,Defender,20/12/2001 (19),189cm,Sepp van den Berg,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Defender,08/07/1991 (29),193cm,Virgil van Dijk,162,14,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Midfielder,01/12/1992,186cm,Marco van Ginkel,19,0,19,12,2,17%,0,380,20,0,10,10%,0,0,14,0,28,68%,4,23,18,55,56,13,14,5
Netherlands,Defender,08/06/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,11/01/1987 (33),179cm,Jamie Vardy,226,114,0.5,493,242,49%,33,"3,115",13.78,52,264,,,,,,,,,,,,,,,
United States,Forward,16/02/2001,173cm,Indiana Vassilev,4,0,4,1,0,1%,0,11,2.75,0,0,,,,,,,,,,,,,,,
Netherlands,Defender,15/01/1992 (28),184cm,Joël Veltman,10,0,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Goalkeeper,03/12/1996 (24),195cm,Michael Verrips,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Defender,24/04/1987,189cm,Jan Vertonghen,232,6,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,Defender,03/08/1992 (28),199cm,Jannik Vestergaard,55,4,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Midfielder,13/02/2000 (20),172cm,Vitinha,7,0,7,0,0,0%,1,63,9,0,0,0%,0,0,2,0,2,2%,0,0,1,4,3,0,0,2
England,Defender,17/03/2000 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Goalkeeper,20/10/1983,183cm,Michel Vorm,102,0,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Forward,01/05/1992 (28),180cm,Matej Vydra,64,6,0.09,40,21,53%,5,383,5.98,4,12,,,,,,,,,,,,,,,
England,Forward,16/03/1989 (31),176cm,Theo Walcott,357,77,0.22,633,274,43%,53,"5,690",15.94,61,967,,,,,,,,,,,,,,,
England,Defender,28/05/1990 (30),178cm,Kyle Walker,304,8,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,13/04/1997 (23),173cm,Kyle Walker-Peters,37,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,09/11/1995 (25),182cm,Christian Walton,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,26/11/1997 (23),183cm,Aaron Wan-Bissaka,89,1,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,29/10/1989 (31),188cm,Joel Ward,206,4,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,01/11/1994 (26),173cm,James Ward-Prowse,246,26,0.11,259,108,42%,25,"7,841",31.87,37,"1,192",26%,31,1,215,5,291,64%,72,206,267,670,935,195,326,53
England,Forward,30/12/1995 (24),180cm,Ollie Watkins,14,6,0.43,40,16,40%,2,288,20.57,2,10,,,,,,,,,,,,,,,
England,Defender,03/11/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,04/01/1995 (25),191cm,Adam Webster,45,3,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,26/11/1990 (30),185cm,Danny Welbeck,233,46,0.2,398,156,39%,20,"4,007",17.2,25,39,,,,,,,,,,,,,,,
Germany,Forward,06/03/1996 (24),180cm,Timo Werner,16,4,0.25,39,16,41%,4,431,26.94,4,13,,,,,,,,,,,,,,,
Brazil,Forward,26/11/1996 (24),191cm,Wesley,21,5,0.24,35,18,51%,1,367,17.48,1,7,,,,,,,,,,,,,,,
England,Midfielder,01/04/1990 (30),175cm,Ashley Westwood,235,10,0.04,143,37,26%,26,"10,595",45.09,44,723,31%,41,0,206,2,346,68%,49,330,253,621,651,98,133,38
England,Defender,08/10/1997 (23),182cm,Ben White,15,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,02/10/1998 (22),189cm,Alfie Whiteman,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,31/03/1993 (27),191cm,Connor Wickham,120,19,0.16,189,59,31%,7,"2,003",16.69,5,112,,,,,,,,,,,,,,,
Netherlands,Midfielder,11/11/1990 (30),175cm,Georginio Wijnaldum,194,26,0.13,230,88,38%,16,"8,269",42.62,16,69,25%,7,0,88,15,208,66%,57,130,129,744,766,160,217,202
